Year,South,Northeast,Midwest,West
1963,0.36363636363636365,0.15151515151515152,0.21212121212121213,0.2727272727272727
1964,0.18181818181818182,0.21212121212121213,0.45454545454545453,0.15151515151515152
1965,0.2727272727272727,0.21212121212121213,0.3333333333333333,0.18181818181818182
1966,0.30303030303030304,0.18181818181818182,0.36363636363636365,0.15151515151515152
1967,0.2727272727272727,0.21212121212121213,0.42424242424242425,0.09090909090909091
1968,0.48484848484848486,0.12121212121212122,0.21212121212121213,0.18181818181818182
1969,0.45454545454545453,0.18181818181818182,0.24242424242424243,0.12121212121212122
1970,0.375,0.09375,0.28125,0.25
1971,0.5151515151515151,0.12121212121212122,0.18181818181818182,0.18181818181818182
1972,0.5151515151515151,0.15151515151515152,0.15151515151515152,0.18181818181818182
1973,0.5,0.12,0.2,0.18
1974,0.3469387755102041,0.10204081632653061,0.2857142857142857,0.2653061224489796
1975,0.38,0.18,0.24,0.2
1976,0.35294117647058826,0.09803921568627451,0.27450980392156865,0.27450980392156865
1977,0.4642857142857143,0.03571428571428571,0.30357142857142855,0.19642857142857142
1978,0.47368421052631576,0.12280701754385964,0.22807017543859648,0.17543859649122806
1979,0.43333333333333335,0.1,0.25,0.21666666666666667
1980,0.36065573770491804,0.13114754098360656,0.26229508196721313,0.2459016393442623
1981,0.515625,0.109375,0.21875,0.15625
1982,0.4666666666666667,0.13333333333333333,0.25,0.15
1983,0.5737704918032787,0.11475409836065574,0.19672131147540983,0.11475409836065574
1984,0.4915254237288136,0.13559322033898305,0.2711864406779661,0.1016949152542373
1985,0.40425531914893614,0.14893617021276595,0.2978723404255319,0.14893617021276595
1986,0.4444444444444444,0.2037037037037037,0.2037037037037037,0.14814814814814814
1987,0.5373134328358209,0.16417910447761194,0.23880597014925373,0.05970149253731343
1988,0.46551724137931033,0.1896551724137931,0.15517241379310345,0.1896551724137931
1989,0.5,0.07142857142857142,0.25,0.17857142857142858
1990,0.5454545454545454,0.07272727272727272,0.2545454545454545,0.12727272727272726
1991,0.44642857142857145,0.05357142857142857,0.26785714285714285,0.23214285714285715
1992,0.42857142857142855,0.10714285714285714,0.23214285714285715,0.23214285714285715
1993,0.42105263157894735,0.17543859649122806,0.24561403508771928,0.15789473684210525
1994,0.543859649122807,0.12280701754385964,0.19298245614035087,0.14035087719298245
1995,0.5254237288135594,0.1694915254237288,0.15254237288135594,0.15254237288135594
1996,0.4482758620689655,0.1206896551724138,0.22413793103448276,0.20689655172413793
1997,0.5178571428571429,0.10714285714285714,0.21428571428571427,0.16071428571428573
1998,0.5357142857142857,0.08928571428571429,0.14285714285714285,0.23214285714285715
1999,0.4727272727272727,0.12727272727272726,0.18181818181818182,0.21818181818181817
2000,0.5087719298245614,0.08771929824561403,0.19298245614035087,0.21052631578947367
2001,0.5636363636363636,0.05454545454545454,0.16363636363636364,0.21818181818181817
2002,0.5454545454545454,0.12727272727272726,0.12727272727272726,0.2
2003,0.4827586206896552,0.1206896551724138,0.1896551724137931,0.20689655172413793
2004,0.5,0.13793103448275862,0.1206896551724138,0.2413793103448276
2005,0.5172413793103449,0.08620689655172414,0.15517241379310345,0.2413793103448276
2006,0.5689655172413793,0.05172413793103448,0.22413793103448276,0.15517241379310345
2007,0.5517241379310345,0.06896551724137931,0.13793103448275862,0.2413793103448276
2008,0.6724137931034483,0.034482758620689655,0.15517241379310345,0.13793103448275862
2009,0.5344827586206896,0.017241379310344827,0.20689655172413793,0.2413793103448276
2010,0.6981132075471698,0.05660377358490566,0.07547169811320754,0.16981132075471697
2011,0.4528301886792453,0.05660377358490566,0.22641509433962265,0.2641509433962264
2012,0.6491228070175439,0.05263157894736842,0.15789473684210525,0.14035087719298245
2013,0.631578947368421,0.07017543859649122,0.08771929824561403,0.21052631578947367
